x0000,y0000
1.342281879,5,
4.026845638,3,
6.711409396,0,
9.395973154,0,
12.08053691,0,
14.76510067,1,
17.44966443,1,
20.13422819,0,
22.81879195,1,
25.5033557,0,
28.18791946,1,
30.87248322,2,
33.55704698,0,
36.24161074,0,
38.9261745,3,
41.61073826,2,
44.29530201,1,
46.97986577,4,
49.66442953,3,
52.34899329,1,
55.03355705,3,
57.71812081,4,
60.40268456,4,
63.08724832,3,
65.77181208,2,
68.45637584,5,
71.1409396,4,
73.82550336,4,
76.51006711,6,
79.19463087,10,
81.87919463,2,
84.56375839,5,
87.24832215,4,
89.93288591,7,
92.61744966,6,
95.30201342,8,
97.98657718,8,
100.6711409,8,
103.3557047,10,
106.0402685,15,
108.7248322,6,
111.409396,15,
114.0939597,11,
116.7785235,11,
119.4630872,14,
122.147651,23,
124.8322148,15,
127.5167785,16,
130.2013423,24,
132.885906,19,
135.5704698,20,
138.2550336,23,
140.9395973,26,
143.6241611,36,
146.3087248,35,
148.9932886,25,
151.6778523,32,
154.3624161,51,
157.0469799,47,
159.7315436,63,
162.4161074,55,
165.1006711,87,
167.7852349,74,
170.4697987,110,
173.1543624,115,
175.8389262,132,
178.5234899,139,
181.2080537,164,
183.8926174,176,
186.5771812,206,
189.261745,218,
191.9463087,237,
194.6308725,208,
197.3154362,254,
200,377,
202.6845638,457,
205.3691275,486,
208.0536913,521,
210.738255,537,
213.4228188,613,
216.1073826,661,
218.7919463,739,
221.4765101,893,
224.1610738,1047,
226.8456376,1184,
229.5302013,1404,
232.2147651,1753,
234.8993289,2120,
237.5838926,2781,
240.2684564,3597,
242.9530201,5336,
245.6375839,8096,
248.3221477,14291,
251.0067114,25279,
253.6912752,15943,
256.3758389,112,
259.0604027,8,
261.7449664,3,
264.4295302,5,
267.114094,4,
269.7986577,10,
272.4832215,6,
275.1677852,8,
277.852349,5,
280.5369128,6,
283.2214765,7,
285.9060403,6,
288.590604,5,
291.2751678,5,
293.9597315,8,
296.6442953,5,
299.3288591,11,
302.0134228,7,
304.6979866,6,
307.3825503,5,
310.0671141,12,
312.7516779,5,
315.4362416,7,
318.1208054,10,
320.8053691,10,
323.4899329,8,
326.1744966,8,
328.8590604,17,
331.5436242,14,
334.2281879,13,
336.9127517,20,
339.5973154,13,
342.2818792,22,
344.966443,34,
347.6510067,28,
350.3355705,22,
353.0201342,35,
355.704698,35,
358.3892617,39,
361.0738255,66,
363.7583893,62,
366.442953,56,
369.1275168,70,
371.8120805,71,
374.4966443,68,
377.1812081,68,
379.8657718,53,
382.5503356,29,
385.2348993,33,
387.9194631,13,
390.6040268,13,
393.2885906,8,
395.9731544,4,
398.6577181,3,
